,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,aide,help
6,demande,request
7,mois,month
8,frère,brother
9,laisser,let
10,mettre,to put
11,laisse,leash
12,eux,them
13,ville,city
14,chaque,each
15,parlé,speak
16,arrivé,come
17,devrait,should
18,bébé,baby
19,longtemps,long time
20,heures,hours
21,pendant,while
22,revoir,meet again
23,aucune,any
24,place,square
25,compris,understood
26,savais,knew
27,étaient,were
28,voici,here is
29,pourrais,could
30,affaire,case
31,donner,give
32,type,type
33,leurs,their
34,corps,body
35,endroit,place
36,yeux,eyes
37,écoute,listen
38,dont,whose
39,premier,first
40,perdu,lost
41,main,hand
42,première,first
43,côté,side
44,pouvoir,power
45,vieux,old
46,tiens,here
47,enfant,child
48,point,point
49,venu,came
50,suite,after
51,pardon,sorry
52,venez,come
53,devant,in front of
54,vers,towards
55,minutes,minutes
56,demandé,request
57,chambre,bedroom
58,mis,placed
59,belle,beautiful
60,aimerais,would like to
61,aujourd'hui,today
62,cause,cause
63,enfin,finally
64,espère,hope
65,attendez,Wait
66,parti,left
67,nouvelle,new
68,arrêter,Stop
69,terre,Earth
70,fin,end
71,croire,believe
72,chérie,sweetheart
73,gros,large
74,aura,will have
75,filles,girls
76,jouer,to play
